	Wavelength (nm)		Flux (erg/s/cm2/nm)	
           106.9000015259             0.0123886508
           106.9100036621             0.0123865946
           106.9199981689             0.0124034515
           106.9300003052             0.0124108541
           106.9400024414             0.0124087819
           106.9499969482             0.0124256549
           106.9599990845             0.0124330574
           106.9700012207             0.0124404600
           106.9800033569             0.0124383660
           106.9899978638             0.0124552622
           107.0000000000             0.0124626647
           107.0100021362             0.0124605533
           107.0199966431             0.0124774655
           107.0299987793             0.0124848695
           107.0400009155             0.0124922721
           107.0500030518             0.0124901373
           107.0599975586             0.0125070728
           107.0699996948             0.0125144754
           107.0800018311             0.0125218794
           107.0899963379             0.0125197228
           107.0999984741             0.0125366787
           107.1100006104             0.0125440827
           107.1200027466             0.0125419087
           107.1299972534             0.0125588835
           107.1399993896             0.0125662875
           107.1500015259             0.0125736900
           107.1600036621             0.0125714927
           107.1699981689             0.0125884908
           107.1800003052             0.0125958933
           107.1900024414             0.0125936815
           107.1999969482             0.0126106941
           107.2099990845             0.0126180967
           107.2200012207             0.0126255007
           107.2300033569             0.0126232655
           107.2399978638             0.0126403014
           107.2500000000             0.0126477040
           107.2600021362             0.0126454514
           107.2699966431             0.0126625047
           107.2799987793             0.0126699088
           107.2900009155             0.0126773113
           107.3000030518             0.0126750369
           107.3099975586             0.0126921121
           107.3199996948             0.0126995146
           107.3300018311             0.0127069186
           107.3399963379             0.0127046209
           107.3499984741             0.0127217194
           107.3600006104             0.0127291220
           107.3700027466             0.0127268067
           107.3799972534             0.0127439227
           107.3899993896             0.0127513267
           107.4000015259             0.0127587293
           107.4100036621             0.0127563922
           107.4199981689             0.0127735300
           107.4300003052             0.0127809326
           107.4400024414             0.0127785795
           107.4499969482             0.0127957333
           107.4599990845             0.0128031374
           107.4700012207             0.0128105399
           107.4800033569             0.0128081636
           107.4899978638             0.0128253407
           107.5000000000             0.0128427011
           107.5100021362             0.0129098233
           107.5199966431             0.0130065833
           107.5299987793             0.0130935194
           107.5400009155             0.0131804569
           107.5500030518             0.0132572401
           107.5599975586             0.0133542650
           107.5699996948             0.0134412010
           107.5800018311             0.0135281385
           107.5899963379             0.0136046569
           107.5999984741             0.0137019466
           107.6100006104             0.0137888841
