# Formed from prebioticearth_atmosphere_models.py
# Z (cm)	T (K)	DEN (cm**-3)	P (bar)
1.2896641e+06	1.6154894e+02	5.7143016e+18	1.2745397e-01
1.2942818e+06	1.6109617e+02	5.6733436e+18	1.2618578e-01
1.2988865e+06	1.6064468e+02	5.6326792e+18	1.2493021e-01
1.3034784e+06	1.6019445e+02	5.5923063e+18	1.2368714e-01
1.3080573e+06	1.5974549e+02	5.5522227e+18	1.2245643e-01
1.3126235e+06	1.5929778e+02	5.5124265e+18	1.2123797e-01
1.3171768e+06	1.5885133e+02	5.4729155e+18	1.2003163e-01
1.3217174e+06	1.5840613e+02	5.4336877e+18	1.1883730e-01
1.3262452e+06	1.5796217e+02	5.3947410e+18	1.1765484e-01
1.3307604e+06	1.5751946e+02	5.3560735e+18	1.1648416e-01
1.3352629e+06	1.5707799e+02	5.3176832e+18	1.1532512e-01
1.3397528e+06	1.5663776e+02	5.2795681e+18	1.1417762e-01
1.3442301e+06	1.5619876e+02	5.2417261e+18	1.1304153e-01
1.3486948e+06	1.5576100e+02	5.2041554e+18	1.1191675e-01
1.3531471e+06	1.5532446e+02	5.1668539e+18	1.1080316e-01
1.3575868e+06	1.5488914e+02	5.1298199e+18	1.0970065e-01
1.3620141e+06	1.5445504e+02	5.0930512e+18	1.0860911e-01
1.3664291e+06	1.5402216e+02	5.0565462e+18	1.0752843e-01
1.3708316e+06	1.5359050e+02	5.0203027e+18	1.0645850e-01
1.3752218e+06	1.5316004e+02	4.9843191e+18	1.0539922e-01
1.3795997e+06	1.5273079e+02	4.9485934e+18	1.0435049e-01
1.3839653e+06	1.5230274e+02	4.9131237e+18	1.0331218e-01
1.3883187e+06	1.5187589e+02	4.8779083e+18	1.0228421e-01
1.3926599e+06	1.5145024e+02	4.8429453e+18	1.0126646e-01
1.3969889e+06	1.5102578e+02	4.8082328e+18	1.0025884e-01
1.4013087e+06	1.5091625e+02	4.7638452e+18	9.9261252e-02
1.4056285e+06	1.5091625e+02	4.7164441e+18	9.8273586e-02
1.4099484e+06	1.5091625e+02	4.6695147e+18	9.7295747e-02
1.4142682e+06	1.5091625e+02	4.6230523e+18	9.6327638e-02
1.4185880e+06	1.5091625e+02	4.5770521e+18	9.5369162e-02
1.4229078e+06	1.5091625e+02	4.5315097e+18	9.4420223e-02
1.4272276e+06	1.5091625e+02	4.4864204e+18	9.3480726e-02
1.4315475e+06	1.5091625e+02	4.4417798e+18	9.2550578e-02
1.4358673e+06	1.5091625e+02	4.3975833e+18	9.1629684e-02
1.4401871e+06	1.5091625e+02	4.3538267e+18	9.0717953e-02
1.4445069e+06	1.5091625e+02	4.3105054e+18	8.9815295e-02
1.4488267e+06	1.5091625e+02	4.2676151e+18	8.8921618e-02
1.4531465e+06	1.5091625e+02	4.2251516e+18	8.8036833e-02
1.4574664e+06	1.5091625e+02	4.1831107e+18	8.7160852e-02
1.4617862e+06	1.5091625e+02	4.1414880e+18	8.6293587e-02
1.4661060e+06	1.5091625e+02	4.1002795e+18	8.5434951e-02
1.4704258e+06	1.5091625e+02	4.0594811e+18	8.4584859e-02
1.4747456e+06	1.5091625e+02	4.0190886e+18	8.3743226e-02
1.4790654e+06	1.5091625e+02	3.9790980e+18	8.2909967e-02
1.4833853e+06	1.5091625e+02	3.9395053e+18	8.2084999e-02
1.4877051e+06	1.5091625e+02	3.9003065e+18	8.1268239e-02
1.4920249e+06	1.5091625e+02	3.8614978e+18	8.0459607e-02
1.4963447e+06	1.5091625e+02	3.8230753e+18	7.9659020e-02
1.5006645e+06	1.5091625e+02	3.7850351e+18	7.8866400e-02
1.5049843e+06	1.5091625e+02	3.7473733e+18	7.8081666e-02
1.5093042e+06	1.5091625e+02	3.7100863e+18	7.7304741e-02
1.5136240e+06	1.5091625e+02	3.6731704e+18	7.6535546e-02
