Gary Hansen's new data on complex index of refraction
for CO2 ice. Supercedes Warren 1986

lambda-micron        nr               ni
1.0382000e+000  1.4059919e+000  1.6444980e-009
1.0382500e+000  1.4059914e+000  1.7477712e-009
1.0383000e+000  1.4059909e+000  1.8801384e-009
1.0384000e+000  1.4059903e+000  2.2819997e-009
1.0385000e+000  1.4059894e+000  2.8759965e-009
1.0386000e+000  1.4059879e+000  3.7092944e-009
1.0386500e+000  1.4059876e+000  4.3679705e-009
1.0387000e+000  1.4059873e+000  5.1445791e-009
1.0387500e+000  1.4059869e+000  6.0971653e-009
1.0388000e+000  1.4059864e+000  7.1591264e-009
1.0388500e+000  1.4059860e+000  8.4545644e-009
1.0389000e+000  1.4059860e+000  9.9199375e-009
1.0389500e+000  1.4059859e+000  1.1713679e-008
1.0390000e+000  1.4059854e+000  1.3645671e-008
1.0390500e+000  1.4059849e+000  1.5946624e-008
1.0391000e+000  1.4059844e+000  1.8495864e-008
1.0391500e+000  1.4059839e+000  2.0941984e-008
1.0392000e+000  1.4059836e+000  2.3418937e-008
1.0392500e+000  1.4059833e+000  2.5241138e-008
1.0392750e+000  1.4059831e+000  2.5927352e-008
1.0393000e+000  1.4059828e+000  2.6438265e-008
1.0393250e+000  1.4059823e+000  2.6618374e-008
1.0393500e+000  1.4059820e+000  2.6580142e-008
1.0393750e+000  1.4059820e+000  2.6105194e-008
1.0394000e+000  1.4059818e+000  2.5392010e-008
1.0394250e+000  1.4059813e+000  2.4468696e-008
1.0394500e+000  1.4059809e+000  2.3429534e-008
1.0395000e+000  1.4059805e+000  2.1078082e-008
1.0395500e+000  1.4059801e+000  1.8430249e-008
1.0396000e+000  1.4059797e+000  1.5781334e-008
1.0396500e+000  1.4059793e+000  1.3316658e-008
1.0396750e+000  1.4059791e+000  1.2221571e-008
1.0397000e+000  1.4059789e+000  1.1281149e-008
1.0397500e+000  1.4059786e+000  9.5995732e-009
1.0398000e+000  1.4059783e+000  8.1372749e-009
1.0398500e+000  1.4059779e+000  6.9401279e-009
1.0399000e+000  1.4059774e+000  5.8698911e-009
1.0399500e+000  1.4059769e+000  5.0031325e-009
1.0400000e+000  1.4059764e+000  4.2584452e-009
1.0400500e+000  1.4059759e+000  3.7000719e-009
1.0401000e+000  1.4059754e+000  3.2415466e-009
1.0401500e+000  1.4059750e+000  2.8645909e-009
1.0402000e+000  1.4059750e+000  2.5400792e-009
1.0402500e+000  1.4059749e+000  2.2695920e-009
1.0403000e+000  1.4059744e+000  2.0402226e-009
1.0403500e+000  1.4059738e+000  1.8715151e-009
1.0404000e+000  1.4059730e+000  1.7686113e-009
1.0405000e+000  1.4059724e+000  1.6810129e-009
1.0406000e+000  1.4059714e+000  1.6189026e-009
1.0407000e+000  1.4059705e+000  1.5769875e-009
1.0408000e+000  1.4059697e+000  1.5509666e-009
1.0409000e+000  1.4059688e+000  1.5371170e-009
1.0410000e+000  1.4059680e+000  1.5332883e-009
1.0420000e+000  1.4059598e+000  1.5365854e-009
1.0430000e+000  1.4059515e+000  1.5398861e-009
1.0440000e+000  1.4059432e+000  1.5431902e-009
1.0450000e+000  1.4059350e+000  1.5465810e-009
1.0460000e+000  1.4059267e+000  1.5499755e-009
1.0470000e+000  1.4059185e+000  1.5533736e-009
1.0480000e+000  1.4059102e+000  1.5567753e-009
1.0490000e+000  1.4059020e+000  1.5601808e-009
1.0495000e+000  1.4058978e+000  1.5619266e-009
1.0499000e+000  1.4058945e+000  1.5633574e-009
1.0500000e+000  1.4058937e+000  1.5843119e-009
1.0501000e+000  1.4058929e+000  1.6156322e-009
1.0502000e+000  1.4058920e+000  1.6658459e-009
1.0503000e+000  1.4058912e+000  1.7293583e-009
1.0504000e+000  1.4058903e+000  1.8597533e-009
1.0505000e+000  1.4058894e+000  2.1276052e-009
1.0505500e+000  1.4058889e+000  2.3293499e-009
1.0506000e+000  1.4058884e+000  2.5598737e-009
1.0506500e+000  1.4058879e+000  2.8726061e-009
1.0507000e+000  1.4058874e+000  3.2627094e-009
1.0507500e+000  1.4058870e+000  3.7694106e-009
1.0508000e+000  1.4058870e+000  4.3862875e-009
1.0508500e+000  1.4058869e+000  5.2825272e-009
1.0509000e+000  1.4058864e+000  6.4140140e-009
1.0509500e+000  1.4058859e+000  8.0106857e-009
1.0510000e+000  1.4058854e+000  9.8464572e-009
1.0510500e+000  1.4058849e+000  1.2044982e-008
1.0511000e+000  1.4058844e+000  1.4429406e-008
1.0511250e+000  1.4058841e+000  1.5817434e-008
1.0511500e+000  1.4058839e+000  1.7414648e-008
1.0511750e+000  1.4058837e+000  1.9222735e-008
1.0512000e+000  1.4058834e+000  2.1352968e-008
1.0512500e+000  1.4058829e+000  2.6567414e-008
1.0513000e+000  1.4058824e+000  3.2114486e-008
1.0513500e+000  1.4058820e+000  3.7870408e-008
1.0513750e+000  1.4058820e+000  4.0462437e-008
1.0514000e+000  1.4058820e+000  4.2822830e-008
1.0514250e+000  1.4058820e+000  4.4821045e-008
1.0514500e+000  1.4058819e+000  4.6389282e-008
1.0514750e+000  1.4058817e+000  4.7029652e-008
1.0515000e+000  1.4058814e+000  4.6768029e-008
1.0515250e+000  1.4058812e+000  4.5632797e-008
1.0515500e+000  1.4058809e+000  4.3837279e-008
1.0515750e+000  1.4058807e+000  4.1629962e-008
1.0516000e+000  1.4058804e+000  3.9072742e-008
1.0516500e+000  1.4058799e+000  3.3414804e-008
1.0517000e+000  1.4058794e+000  2.8296976e-008
1.0517500e+000  1.4058790e+000  2.3668280e-008
1.0518000e+000  1.4058787e+000  1.9653499e-008
1.0518500e+000  1.4058785e+000  1.6251884e-008
1.0519000e+000  1.4058782e+000  1.3379814e-008
1.0519500e+000  1.4058779e+000  1.1102659e-008
1.0520000e+000  1.4058774e+000  9.1944734e-009
1.0520500e+000  1.4058769e+000  7.7782931e-009
1.0521000e+000  1.4058764e+000  6.6862391e-009
1.0521500e+000  1.4058760e+000  5.8125261e-009
1.0522000e+000  1.4058756e+000  5.1473050e-009
1.0522500e+000  1.4058753e+000  4.7050918e-009
1.0523000e+000  1.4058749e+000  4.3276508e-009
1.0524000e+000  1.4058739e+000  3.7040607e-009
1.0525000e+000  1.4058729e+000  3.1486963e-009
1.0526000e+000  1.4058720e+000  2.6742254e-009
1.0527000e+000  1.4058719e+000  2.2813412e-009
1.0528000e+000  1.4058709e+000  1.9519707e-009
1.0529000e+000  1.4058699e+000  1.7198982e-009
1.0530000e+000  1.4058689e+000  1.6147311e-009
1.0532000e+000  1.4058672e+000  1.5749762e-009
1.0535000e+000  1.4058647e+000  1.5760117e-009
1.0540000e+000  1.4058607e+000  1.5778500e-009
1.0550000e+000  1.4058526e+000  1.5814459e-009
1.0560000e+000  1.4058446e+000  1.5850457e-009
1.0570000e+000  1.4058365e+000  1.5887337e-009
1.0580000e+000  1.4058285e+000  1.5923415e-009
1.0590000e+000  1.4058205e+000  1.5961220e-009
1.0600000e+000  1.4058124e+000  1.5998223e-009
1.0610000e+000  1.4058044e+000  1.6036112e-009
1.0620000e+000  1.4057963e+000  1.6074044e-009
1.0630000e+000  1.4057883e+000  1.6112020e-009
1.0640000e+000  1.4057802e+000  1.6150884e-009
1.0650000e+000  1.4057722e+000  1.6189794e-009
1.0660000e+000  1.4057642e+000  1.6229596e-009
1.0664000e+000  1.4057609e+000  1.6245869e-009
1.0665000e+000  1.4057601e+000  1.6249090e-009
1.0666000e+000  1.4057592e+000  1.6399998e-009
1.0666500e+000  1.4057587e+000  1.7152815e-009
1.0667000e+000  1.4057582e+000  1.8471888e-009
1.0667500e+000  1.4057580e+000  2.0379367e-009
1.0668000e+000  1.4057580e+000  2.3048516e-009
1.0669000e+000  1.4057572e+000  3.0336898e-009
1.0669500e+000  1.4057567e+000  3.4849332e-009
1.0670000e+000  1.4057562e+000  3.9991366e-009
1.0670500e+000  1.4057557e+000  4.6196145e-009
1.0671000e+000  1.4057552e+000  5.3890103e-009
1.0672000e+000  1.4057542e+000  7.0721358e-009
1.0673000e+000  1.4057536e+000  8.8822968e-009
1.0674000e+000  1.4057531e+000  1.0863953e-008
1.0675000e+000  1.4057522e+000  1.2746590e-008
1.0675500e+000  1.4057517e+000  1.3605212e-008
1.0676000e+000  1.4057512e+000  1.4259168e-008
1.0676500e+000  1.4057510e+000  1.4594581e-008
1.0676800e+000  1.4057510e+000  1.4527021e-008
1.0677000e+000  1.4057510e+000  1.4428734e-008
1.0677500e+000  1.4057507e+000  1.3645997e-008
1.0678000e+000  1.4057502e+000  1.2541139e-008
1.0678500e+000  1.4057497e+000  1.1332506e-008
1.0679000e+000  1.4057492e+000  1.0077871e-008
1.0680000e+000  1.4057482e+000  7.8252532e-009
1.0681000e+000  1.4057476e+000  5.9154301e-009
1.0681500e+000  1.4057473e+000  5.0988506e-009
1.0682000e+000  1.4057471e+000  4.4192220e-009
1.0682500e+000  1.4057467e+000  3.8648325e-009
1.0683000e+000  1.4057462e+000  3.4388452e-009
1.0684000e+000  1.4057452e+000  2.7966666e-009
1.0685000e+000  1.4057444e+000  2.2759586e-009
1.0686000e+000  1.4057438e+000  1.8736939e-009
1.0686500e+000  1.4057434e+000  1.7444351e-009
1.0687000e+000  1.4057431e+000  1.6600675e-009
1.0688000e+000  1.4057423e+000  1.6428722e-009
1.0689000e+000  1.4057415e+000  1.6346049e-009
1.0690000e+000  1.4057407e+000  1.6350131e-009
1.0700000e+000  1.4057325e+000  1.6390970e-009
1.0750000e+000  1.4056942e+000  1.6600159e-009
1.0800000e+000  1.4056558e+000  1.6814879e-009
1.0900000e+000  1.4055792e+000  1.7238597e-009
1.1000000e+000  1.4055025e+000  1.7621715e-009
1.1110770e+000  1.4054239e+000  1.6586973e-009
1.1172840e+000  1.4053798e+000  1.6589836e-009
1.1200000e+000  1.4053605e+000  1.6604317e-009
1.1231740e+000  1.4053380e+000  1.6625452e-009
1.1235590e+000  1.4053353e+000  1.6628469e-009
1.1295860e+000  1.4052925e+000  1.6699689e-009
1.1299060e+000  1.4052902e+000  1.6703521e-009
1.1300000e+000  1.4052895e+000  1.6704012e-009
1.1327860e+000  1.4052697e+000  1.6727166e-009
1.1350000e+000  1.4052540e+000  1.6754440e-009
1.1359380e+000  1.4052474e+000  1.6762862e-009
1.1360040e+000  1.4052469e+000  1.6762932e-009
1.1363250e+000  1.4052446e+000  1.6770382e-009
1.1380000e+000  1.4052327e+000  1.6812309e-009
1.1385250e+000  1.4052290e+000  1.6825501e-009
1.1398230e+000  1.4052198e+000  1.6857382e-009
1.1400000e+000  1.4052185e+000  1.6860907e-009
1.1420000e+000  1.4052043e+000  1.6911389e-009
1.1424290e+000  1.4052013e+000  1.6925015e-009
1.1424950e+000  1.4052008e+000  1.6926902e-009
1.1428170e+000  1.4051985e+000  1.6927125e-009
1.1440000e+000  1.4051901e+000  1.6941006e-009
1.1450460e+000  1.4051827e+000  1.6962874e-009
1.1460000e+000  1.4051759e+000  1.6979743e-009
1.1463590e+000  1.4051734e+000  1.6988711e-009
1.1480000e+000  1.4051617e+000  1.7018511e-009
1.1489940e+000  1.4051547e+000  1.7045133e-009
1.1490610e+000  1.4051542e+000  1.7046127e-009
1.1493840e+000  1.4051519e+000  1.7047260e-009
1.1500000e+000  1.4051475e+000  1.7051821e-009
1.1520000e+000  1.4051343e+000  1.7086977e-009
1.1523730e+000  1.4051319e+000  1.7098011e-009
1.1550000e+000  1.4051145e+000  1.7153533e-009
1.1557030e+000  1.4051099e+000  1.7176849e-009
1.1560270e+000  1.4051078e+000  1.7183504e-009
1.1590530e+000  1.4050878e+000  1.7256154e-009
1.1600000e+000  1.4050815e+000  1.7272099e-009
1.1623550e+000  1.4050660e+000  1.7328439e-009
1.1624220e+000  1.4050656e+000  1.7331288e-009
1.1627470e+000  1.4050634e+000  1.7334283e-009
1.1650000e+000  1.4050485e+000  1.7377141e-009
1.1692200e+000  1.4050207e+000  1.7488470e-009
1.1695460e+000  1.4050185e+000  1.7497999e-009
1.1700000e+000  1.4050155e+000  1.7508516e-009
1.1720000e+000  1.4050023e+000  1.7544041e-009
1.1750000e+000  1.4049825e+000  1.7572118e-009
1.1760300e+000  1.4049757e+000  1.7570676e-009
1.1760980e+000  1.4049753e+000  1.7570757e-009
1.1764240e+000  1.4049731e+000  1.7573755e-009
1.1780000e+000  1.4049627e+000  1.7638544e-009
1.1788030e+000  1.4049574e+000  1.7658072e-009
1.1800000e+000  1.4049495e+000  1.7686332e-009
1.1815900e+000  1.4049390e+000  1.7687597e-009
1.1820000e+000  1.4049363e+000  1.7686209e-009
1.1830570e+000  1.4049294e+000  1.7744390e-009
1.1833840e+000  1.4049272e+000  1.7756828e-009
1.1840000e+000  1.4049231e+000  1.7898921e-009
1.1843900e+000  1.4049206e+000  1.8000953e-009
1.1847860e+000  1.4049179e+000  1.8077683e-009
1.1850000e+000  1.4049165e+000  1.8180906e-009
1.1860000e+000  1.4049099e+000  1.8453903e-009
1.1861910e+000  1.4049087e+000  1.8456875e-009
1.1870000e+000  1.4049033e+000  1.8544085e-009
1.1872030e+000  1.4049020e+000  1.8541588e-009
1.1872720e+000  1.4049015e+000  1.8536996e-009
1.1876000e+000  1.4048994e+000  1.8491084e-009
1.1880000e+000  1.4048967e+000  1.8520947e-009
1.1886840e+000  1.4048922e+000  1.8556204e-009
1.1890000e+000  1.4048901e+000  1.8580061e-009
1.1890120e+000  1.4048901e+000  1.8582141e-009
1.1900000e+000  1.4048835e+000  1.9084325e-009
1.1900300e+000  1.4048834e+000  1.9223067e-009
1.1900990e+000  1.4048829e+000  1.9544285e-009
1.1902000e+000  1.4048823e+000  2.0020456e-009
1.1904000e+000  1.4048810e+000  2.1151096e-009
1.1904270e+000  1.4048808e+000  2.1427244e-009
1.1906000e+000  1.4048797e+000  2.3205878e-009
1.1908000e+000  1.4048784e+000  2.6757622e-009
1.1910000e+000  1.4048771e+000  3.1985264e-009
1.1912000e+000  1.4048758e+000  3.9164545e-009
1.1914000e+000  1.4048743e+000  4.9349772e-009
1.1915180e+000  1.4048731e+000  5.7161973e-009
1.1916000e+000  1.4048727e+000  6.2648661e-009
1.1918000e+000  1.4048718e+000  7.8162741e-009
1.1918460e+000  1.4048715e+000  8.1740432e-009
1.1920000e+000  1.4048702e+000  9.3800595e-009
1.1922000e+000  1.4048693e+000  1.0916951e-008
1.1924000e+000  1.4048680e+000  1.2446482e-008
1.1926000e+000  1.4048666e+000  1.3946156e-008
1.1928000e+000  1.4048654e+000  1.5444435e-008
1.1929390e+000  1.4048645e+000  1.6412633e-008
1.1930000e+000  1.4048642e+000  1.6833089e-008
1.1932000e+000  1.4048629e+000  1.8147195e-008
1.1932680e+000  1.4048624e+000  1.8517613e-008
1.1934000e+000  1.4048616e+000  1.9234769e-008
1.1936000e+000  1.4048606e+000  2.0024457e-008
1.1938000e+000  1.4048594e+000  2.0513261e-008
1.1939800e+000  1.4048583e+000  2.0715883e-008
1.1940000e+000  1.4048582e+000  2.0738083e-008
1.1942000e+000  1.4048566e+000  2.0726352e-008
1.1943650e+000  1.4048553e+000  2.0634171e-008
1.1944000e+000  1.4048550e+000  2.0613865e-008
1.1946000e+000  1.4048536e+000  2.0473772e-008
1.1946930e+000  1.4048530e+000  2.0453499e-008
1.1948000e+000  1.4048524e+000  2.0427758e-008
1.1950000e+000  1.4048512e+000  2.0458755e-008
1.1952000e+000  1.4048500e+000  2.0541121e-008
1.1954000e+000  1.4048488e+000  2.0691054e-008
1.1954070e+000  1.4048487e+000  2.0697834e-008
1.1956000e+000  1.4048476e+000  2.0889559e-008
